Title,Author ,MF,Series,Rating,Year,Date Read,Owned?,Keywords,Century,Drama,SF,Fantasy,Detectives,Spies,Comedy,History,Non-fiction,Stories,,Thoughts
The Course of the Heart,"Harrison, M. John",0,,4,1992,,1,,0,,,,,,,,,,6,
Miss Smilla's Feeling for Snow,"Hoeg, Peter",0,,4,1992,,0,,0,,,,,,,,,,3,
The Reckoning: The Murder of Christopher Marlowe,"Nicholl, Charles",0,,0,1992,,0,,0,,,,,,,,1,,1,
Lords and Ladies,"Pratchett, Terry",0,Discworld 14,3,1992,,0,,0,,,,,,,,,,32,
Small Gods,"Pratchett, Terry",0,Discworld 13,3,1992,,0,,0,,,,,,,,,,32,
The Kindness of Women ,"Ballard, J.G.",0,,3,1991,,1,,0,,,,,,,,,,20,
The Mortdecai Trilogy,"Bonfiglioli, Kyril",0,,4,1991,,0,art,0,,,,,,1,,,,1,
Wise Children,"Carter, Angela",1,,3,1991,,0,,0,,,,,,1,,,,6,
A Model World and Other Stories,"Chabon, Michael",0,,3,1991,,1,,0,,,,,,,,,1,11,
Dream Country,"Gaiman, Neil",0,Sandman 3,3,1991,,0,graphic novel,0,,,1,,,,,,,10,
Paradise News,"Lodge, David",0,,0,1991,,0,,0,,,,,,,,,,4,
Reaper Man,"Pratchett, Terry",0,Discworld 11,3,1991,,0,,0,,,,,,,,,,32,
Witches Abroad ,"Pratchett, Terry",0,Discworld 12,3,1991,,0,,0,,,,,,,,,,32,
The Quantity Theory of Insanity,"Self, Will",0,,3,1991,,0,,0,,,,,,,,,1,6,
Downriver,"Sinclair, Iain",0,,3,1991,,0,,0,,,,,,,,,,2,
Use of Weapons ,"Banks, Iain M.",0,Culture 4,4,1990,,1,,0,,1,,,,,,,,13,
The Doll's House ,"Gaiman, Neil",0,Sandman 2,4,1990,,0,graphic novel,0,,,1,,,,,,,10,
Season of Mists ,"Gaiman, Neil",0,Sandman 4,3,1990,,0,graphic novel,0,,,1,,,,,,,10,
The Difference Engine,"Gibson, William",0,,2,1990,,0,,0,,,,,,,1,,,6,
The Innocent,"McEwan, Ian",0,,3,1990,,0,,0,,,,,,,,,,6,
Good Omens,"Pratchett, Terry",0,,4,1990,,0,religion,0,,,1,,,1,,,,32,
Eric ,"Pratchett, Terry",0,Discworld 9,3,1990,,0,,0,,,,,,,,,,32,
Moving Pictures ,"Pratchett, Terry",0,Discworld 10,3,1990,,0,,0,,,,,,,,,,32,
Vineland,"Pynchon, Thomas",0,,3,1990,,0,,0,,,,,,,,,,3,
Haroun and the Sea of Stories,"Rushdie, Salman",0,,4,1990,,0,,0,,,,,,,,,,7,
Canal Dreams,"Banks, Iain",0,,2,1989,,1,,0,,,,,,,,,,14,
